18007-08-1818T14:19:04.814379	DEBUG	todoapp/main.go:47	application time zone	{"zone": "UTC"}
18007-08-1818T14:24:58.066121	DEBUG	middleware/common.go:66	<<< done HTTP request	{"request_id": "b7facdd5-4057-4742-84da-4472ad0e00b0", "url": "/api/v1/task%D1%8B", "status_code": 404, "latency": "507.9µs"}
18007-08-1818T14:25:04.609004	DEBUG	middleware/common.go:60	>>> incoming HTTP request	{"request_id": "23025049-ad83-487a-942d-7b29028fa9af", "url": "/api/v1/tasks", "time": "18007-08-1818T14:25:04.609004"}
18007-08-1818T14:25:04.623075	DEBUG	middleware/common.go:66	<<< done HTTP request	{"request_id": "23025049-ad83-487a-942d-7b29028fa9af", "url": "/api/v1/tasks", "status_code": 200, "latency": "14.0712ms"}
18007-08-1818T14:25:24.793547	DEBUG	middleware/common.go:60	>>> incoming HTTP request	{"request_id": "f26839db-4031-402b-9bff-b2d3e4f82cec", "url": "/api/v1/statistics", "time": "18007-08-1818T14:25:24.793547"}
18007-08-1818T14:25:24.800541	DEBUG	middleware/common.go:66	<<< done HTTP request	{"request_id": "f26839db-4031-402b-9bff-b2d3e4f82cec", "url": "/api/v1/statistics", "status_code": 200, "latency": "6.9936ms"}
18007-08-1818T14:25:35.555598	DEBUG	middleware/common.go:60	>>> incoming HTTP request	{"request_id": "51774da8-b223-4600-94e9-34fb4dce432c", "url": "/api/v1/statistics?user_id=1", "time": "18007-08-1818T14:25:35.555598"}
18007-08-1818T14:25:35.563219	ERROR	response/handler.go:66	failed to get stats	{"request_id": "51774da8-b223-4600-94e9-34fb4dce432c", "url": "/api/v1/statistics?user_id=1", "error": "get tasks from repository: select tasks: expected 0 arguments, got 1"}
18007-08-1818T14:25:35.563781	DEBUG	middleware/common.go:66	<<< done HTTP request	{"request_id": "51774da8-b223-4600-94e9-34fb4dce432c", "url": "/api/v1/statistics?user_id=1", "status_code": 200, "latency": "8.183ms"}
18007-08-1818T14:28:06.538904	WARN	server/server.go:73	shutdown HTTP server...
18007-08-1818T14:28:06.540220	WARN	server/server.go:87	HTTP server stopped
